time;open;high;low;close;NV
2005-06-29T09:00:00+07:00;282.92342;285.362415;282.92342;282.92342;0
2005-07-01T09:00:00+07:00;282.92342;285.362415;280.484425;282.92342;0
2005-07-04T09:00:00+07:00;280.484425;295.118395;278.04543;295.118395;317723078
2005-07-05T09:00:00+07:00;295.118395;295.118395;282.92342;285.362415;-163386968
2005-07-07T09:00:00+07:00;278.04543;280.484425;273.16744;280.484425;-233533689
2005-07-08T09:00:00+07:00;278.04543;285.362415;278.04543;285.362415;54807410
2005-07-11T09:00:00+07:00;285.362415;290.240405;285.362415;290.240405;93640003
2005-07-12T09:00:00+07:00;290.240405;292.6794;287.80141;292.6794;124708127
2005-07-13T09:00:00+07:00;292.6794;292.6794;287.80141;292.6794;0
2005-07-14T09:00:00+07:00;292.6794;297.55739;290.240405;297.55739;487593250
2005-07-15T09:00:00+07:00;297.55739;297.55739;287.80141;295.118395;-192779197
2005-07-18T09:00:00+07:00;292.6794;292.6794;285.362415;287.80141;-87679556
2005-07-19T09:00:00+07:00;287.80141;292.6794;285.362415;290.240405;41159370
2005-07-20T09:00:00+07:00;290.240405;290.240405;282.92342;285.362415;-203136947
2005-07-21T09:00:00+07:00;287.80141;290.240405;285.362415;290.240405;98109057
2005-07-22T09:00:00+07:00;290.240405;295.118395;287.80141;290.240405;0
2005-07-25T09:00:00+07:00;292.6794;292.6794;287.80141;290.240405;0
2005-07-26T09:00:00+07:00;290.240405;292.6794;287.80141;290.240405;0
2005-07-27T09:00:00+07:00;292.6794;295.118395;287.80141;292.6794;170936184
2005-07-28T09:00:00+07:00;295.118395;304.874375;295.118395;304.874375;359405205
2005-08-01T09:00:00+07:00;309.752365;324.386335;309.752365;321.94734;287362212
2005-08-02T09:00:00+07:00;319.508345;319.508345;314.630355;317.06935;-74564523
2005-08-03T09:00:00+07:00;314.630355;317.06935;314.630355;314.630355;-67394562
2005-08-04T09:00:00+07:00;314.630355;314.630355;304.874375;304.874375;-46474060
2005-08-05T09:00:00+07:00;304.874375;304.874375;290.240405;290.240405;-263320548
2005-08-08T09:00:00+07:00;290.240405;295.118395;287.80141;290.240405;0
2005-08-09T09:00:00+07:00;290.240405;292.6794;287.80141;290.240405;0
2005-08-10T09:00:00+07:00;290.240405;295.118395;290.240405;292.6794;233994944
2005-08-11T09:00:00+07:00;295.118395;299.996385;287.80141;292.6794;0
2005-08-12T09:00:00+07:00;290.240405;290.240405;280.484425;287.80141;-158097905
2005-08-15T09:00:00+07:00;287.80141;287.80141;273.16744;275.606435;-276614958
2005-08-16T09:00:00+07:00;275.606435;282.92342;273.16744;278.04543;194316716
2005-08-18T09:00:00+07:00;280.484425;280.484425;270.728445;278.04543;0
2005-08-19T09:00:00+07:00;278.04543;278.04543;265.850455;273.16744;-212136556
2005-08-22T09:00:00+07:00;273.16744;273.16744;256.094475;260.972465;-194829222
2005-08-23T09:00:00+07:00;260.972465;260.972465;246.338495;248.77749;-528327241
2005-08-24T09:00:00+07:00;248.77749;248.77749;236.582515;246.338495;-1026109114
